Time,P3,F3,C3,Cz,T7,P4,F4,C4,T8
0.256,-38.91433072,946.1370179,274.7860652,272.8784735,615.3589137,896.6780679,597.3702317,-5.989803285,286.8181941
0.258,-38.28835415,942.1137025,273.735284,272.073786,616.2082789,898.0862405,602.242302,-6.369747133,284.4265925
0.26,-37.43923306,942.0690247,273.1317683,271.179743,617.8174098,897.1027505,605.7960129,-8.940181703,281.5878474
0.262,-37.774194,939.2750794,271.6117488,271.5820868,616.4988063,897.4156778,594.4864426,-8.783748598,280.0232722
0.264,-38.78005337,933.5977113,268.4828425,269.2798407,613.0566676,899.0250222,585.7022629,-9.834285707,277.1398493
0.266,-41.1047604,928.9932191,267.0072566,269.5708563,610.665066,901.03668,581.6339036,-9.722530336,275.6646296
0.268,-43.92116665,927.0263001,265.3085261,270.7329657,607.3791774,899.784971,582.8184739,-10.77306745,274.6140925
0.27,-46.11159634,926.4004456,265.7333308,269.6152899,607.2898219,898.6897256,585.679802,-11.04125592,276.5139949
0.272,-47.65358853,924.4335267,265.0629207,266.7764227,606.0827906,897.996824,587.8926926,-12.33770368,275.7987849
0.274,-47.94411587,923.9865052,265.2865535,265.7485907,606.6640895,897.3486306,589.0098801,-13.701107,276.7151667
0.276,-49.26296353,925.7522523,263.8558894,262.3511297,609.5473903,896.5663125,586.1719895,-14.95281598,278.9727351
0.278,-53.15212368,939.3197572,255.1161433,260.4736883,610.9778102,896.4769265,584.8751145,-16.20452496,279.7997615
0.28,-47.92214322,922.9359681,261.8441707,262.5523016,611.7824977,897.3933389,583.6231614,-18.03734967,275.955279
0.282,-45.37380337,927.8086488,260.9950496,262.999079,610.5085719,900.8131387,587.1104661,-18.03734967,270.6355769
0.284,-46.53640103,931.5637757,259.47503,260.7861883,608.1616481,900.8802163,587.5352707,-16.87505719,272.3789851
0.286,-50.76052212,931.2731263,257.329034,260.0713446,606.7534449,898.5779702,585.2999192,-17.94793317,271.9766413
0.288,-53.68874478,927.8756654,256.7479793,260.0713446,606.3286403,898.2427041,585.4112473,-17.43389508,272.4906794
0.29,-55.58864712,923.1594788,258.8715144,259.780329,603.71365,898.9356057,585.9708176,-16.69628522,273.8765437
0.292,-54.40407681,923.4946839,260.1454402,262.7310126,607.6699488,902.1542642,589.2335129,-12.69530866,279.2632624
0.294,-53.68874478,926.869806,256.6810847,263.3120672,609.0110133,904.0541665,590.4180832,-10.59423444,282.01253
0.296,-53.46511197,933.4188783,254.110284,261.077204,604.4287379,903.5400674,591.0440598,-11.62243268,282.7055232
0.298,-52.8391354,936.145807,252.322198,259.8477118,604.965359,905.1270425,593.8380051,-10.77306745,285.3876521
0.3,-51.85573697,929.6862122,252.3895808,259.6690008,606.5969508,905.842283,596.4981614,-12.78472516,285.8346736
0.302,-50.67116665,914.218805,254.0209285,259.1323797,606.5298121,904.4117715,595.492302,-16.89745709,280.2021052
0.304,-50.93923306,902.3947083,253.4398738,257.2773993,604.9875758,900.9472635,598.6436692,-19.24438092,276.6258113
0.306,-53.24147915,912.2965638,251.6517879,257.120661,603.0429957,897.7956521,599.7169114,-20.83135602,276.8269831
0.308,-55.65554165,926.154596,250.3778621,257.835993,603.5346949,896.3428018,603.2481614,-21.56896588,277.6540095
0.31,-57.93532681,925.975763,248.6342097,257.9478094,603.9817164,899.0920694,599.4034348,-14.5057945,273.1389949
0.312,-57.82399868,927.048639,250.3329402,258.7749579,608.1169703,900.589628,595.2462082,-12.82940289,276.6258113
0.314,-55.61110806,929.1050355,251.2494441,260.6748602,608.1391871,902.0648477,593.6817551,-13.34350202,280.604449
0.316,-54.06862759,928.479181,250.3329402,260.2500555,607.3791774,903.696531,592.9219895,-11.35418317,281.1631648
0.318,-54.11354947,925.7745912,249.2377254,258.9087469,608.2063258,902.7354104,594.7100754,-12.18120954,284.0912654
0.32,-52.86159634,926.4227845,249.4388972,257.3887274,606.1274684,902.1989724,593.9278489,-12.44945905,281.0514704
0.322,-51.96755337,927.406305,248.7015925,255.0195868,603.5124781,902.1766031,590.2169114,-14.34936139,272.8036677
0.324,-51.05104947,926.8251283,249.3270808,255.4888251,606.3957789,903.6071145,587.2442551,-16.91979596,265.8299128
0.326,-51.74392056,925.7522523,251.3837215,258.014704,606.194607,903.0036294,589.5020676,-17.79150006,265.5170466
0.328,-55.58864712,924.2323548,249.8861629,257.835993,601.3442653,899.5390908,595.804802,-20.36193463,266.9251277
0.33,-58.44948697,923.9418275,249.7074519,257.8135321,602.2160914,898.0862405,595.9395676,-20.74193952,268.2438533
0.332,-59.36599087,926.0652406,249.3270808,257.0762274,602.1489528,897.3486306,592.0499192,-21.01012799,268.8697077
0.334,-61.0422604,941.7561585,241.8842097,257.5230047,602.998318,897.8627298,591.3350754,-20.04900739,269.1603572
0.336,-58.29323697,920.3207337,248.3886043,255.5562079,601.4560817,894.6887796,585.3448411,-24.74291608,262.9912898
0.338,-55.45436978,916.0515687,250.4896785,254.795954,600.7632106,895.4487283,586.5069504,-25.12285993,260.4878718
0.34,-53.53249478,913.0564515,251.3163386,254.8184149,600.4949,897.3039224,585.9034348,-21.904232,266.0757624
0.342,-54.87331509,912.4529359,251.0482722,255.355036,601.6572535,898.1309488,582.617302,-19.22204205,272.0436579
0.344,-54.2922604,917.0797669,251.5175105,256.2715399,604.585232,898.6450174,580.7178879,-17.70208356,273.8765437
0.346,-54.53786587,916.8562562,247.7177058,256.9194891,605.0769313,899.6285074,579.8233567,-17.56798932,270.3449275
0.348,-54.13552212,916.2975404,248.9027644,258.6631415,606.0381129,900.7237527,587.2217942,-15.93633649,271.1272761
0.35,-54.69460415,917.2809388,249.7074519,258.3276922,605.0769313,899.9414346,595.8721848,-16.42803571,271.3061091
0.352,-54.53786587,918.5103089,249.2152644,256.2041571,601.6794703,898.6003396,594.8887864,-20.13842389,262.4771296
0.354,-53.06276822,922.3994691,250.7577449,256.9194891,603.4678004,897.9744851,596.789177,-20.85369489,263.0359675
0.356,-51.11843228,933.6871888,248.9921199,255.7349188,603.1994899,896.7674844,604.1426926,-24.42998883,264.734698
0.358,-49.50905728,926.8251283,247.8075496,253.6787665,601.1430934,897.6615579,601.3936692,-24.80993268,264.4440486
0.36,-48.59255337,907.5355775,247.8519832,250.9292547,601.5232203,897.2592141,588.4288254,-25.27935407,259.906695
0.362,-48.83815884,910.4413392,248.0306941,250.3926337,600.4726832,898.6003396,576.1583176,-19.4455528,254.564654
0.364,-46.69265103,926.8027894,251.3387996,253.1196844,604.0935328,898.4885537,582.7071457,-26.37456891,259.1914851
0.366,-48.63747525,927.1604554,251.7636043,253.7900946,605.3005641,897.2145059,583.8692551,-26.37456891,263.1029841
0.368,-51.96755337,925.2382142,251.1376277,254.5947821,606.4851344,894.8228738,580.7178879,-23.80413434,266.5899226
0.37,-55.36501431,922.6677796,249.8637019,255.1089422,604.4736598,891.8277566,579.0411301,-22.91003034,267.1709773
0.372,-54.24733853,921.9524476,250.556573,254.2817938,602.8418238,892.6994607,579.3995286,-22.70885846,261.2702204
0.374,-52.414819,920.1643617,252.4115535,256.2041571,604.6970485,894.4428994,582.2823411,-21.25603864,261.158404
0.376,-53.04030728,922.6229798,249.3720027,255.0195868,603.6240504,894.3088052,585.2100754,-20.22784039,264.1758601
0.378,-50.60427212,926.5122621,249.6400691,254.3936102,604.1828883,897.0357034,587.2667161,-19.53490827,265.4052302
0.38,-49.77712368,924.2546937,249.7294246,251.5552313,604.8757594,897.5274331,587.5128098,-18.52910993,265.7852351
0.382,-50.961694,922.1759583,248.6342097,250.1245672,605.7029078,896.3428018,586.976677,-17.50091168,268.7356745
0.384,-51.6101315,921.5947816,248.7460261,250.2139227,606.194607,895.6946084,584.8077317,-17.81383893,268.8026911
0.386,-54.73903775,919.3149964,247.7626277,251.2866766,607.2004664,892.4536111,582.0811692,-17.63506696,270.5460993
0.388,-59.38845181,916.54339,246.7567683,253.4551337,609.6592067,890.687803,579.5333176,-16.31628034,274.7705866
0.39,-65.8703854,919.9185121,241.1688777,255.7573797,611.3801539,891.1571939,578.773552,-11.77886579,277.8105036
0.392,-70.42995572,921.5724427,238.3973933,255.6006415,611.4026149,888.5196817,582.5508957,-11.60009381,277.8551814
0.394,-67.81520962,903.2440736,248.5897761,255.1538641,609.7707789,886.1950967,587.1553879,-15.77984235,272.8930232
0.396,-62.02614712,915.0233704,250.0873347,255.0195868,611.8718531,887.7597329,589.0323411,-17.21038434,274.1000544
0.398,-54.78395962,922.1536195,249.9979793,252.3823797,609.9944117,891.7160013,588.7647629,-17.54565045,271.2166316
0.4,-49.73269009,924.9475648,248.4779597,250.3482001,606.5522731,897.2592141,589.054802,-17.25506207,267.0369441
0.402,-48.88308072,923.1818177,248.947198,249.2080633,606.373318,898.6226785,590.3292161,-18.32793805,266.9027888
0.404,-49.95583462,918.130304,248.6122371,249.7671454,608.0273707,896.8121927,593.3243332,-18.77495954,268.5568415
0.406,-51.16286587,912.9447572,249.4388972,250.4375555,606.8652613,895.3593118,590.3292161,-16.15984723,271.4178034
0.408,-50.44753384,917.3927552,251.0038386,254.7739813,608.8545192,894.7781656,585.4786301,-14.28228375,275.1729304
0.41,-50.0007565,925.2382142,252.5682918,263.4238837,613.3025172,894.7334878,581.3214036,-11.06365582,277.8551814
0.412,-49.91140103,923.3829896,251.2050105,258.5288641,609.3908961,892.9453408,576.3145676,-12.62823102,275.9776179
0.414,-47.67604947,919.4938294,252.5682918,254.6841376,602.5066188,889.5031717,571.9561692,-14.79638288,271.5519587
0.416,-49.10671353,916.3868958,249.7743465,251.6890204,600.517361,885.7257364,568.0889817,-17.43389508,268.9815241
0.418,-49.68776822,914.8669984,245.4828425,251.0635321,602.282986,885.5692727,566.1671067,-17.61266705,269.4285456
0.42,-45.0163815,916.9232728,245.7958308,254.9302313,602.5959742,888.7655618,565.3848801,-16.58452985,270.613238
0.422,-40.70241665,919.20318,247.5839168,258.9536688,605.7475856,889.4808023,568.6700364,-16.04809186,271.9766413
0.424,-38.66823697,919.8960511,248.2098933,256.0923407,605.4123805,887.8714883,576.8731614,-20.56310651,269.3167292
0.426,-39.3391354,918.1973206,245.9520808,252.3149969,600.9865992,887.7820718,581.0528489,-22.68651959,267.5509822
0.428,-41.39528775,916.4539124,245.7958308,253.5220282,599.3103297,888.9220254,576.1807786,-19.87023541,268.8473689
0.43,-44.41286587,916.185724,246.1088191,254.9302313,599.6679957,888.6538064,568.4464036,-17.65740582,270.1437556
